tag_number,Shut-off Pressures P1 / P2,Power Failure Pos.,Manufacturer / Model,Body Style,Required Travel / Angle,Bench Range,Plug/Stem MAT,Butterfly/Shaft MAT,Seat/Guide MAT,Seat Diameter,Trim Coating,Leakage Class,Packing MAT
HV-328601,6.0/1.0 BAR A,FO,FISHER-GULDE/1018.00,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4404,,1.4404,65 MM  ,,IV,TFE-03
HV-329601,25.5 /1.0 BAR A,FC,FISHER-CULDE/1018.10,GLOBE VALVE,32 MM,1.0…1.8 BAR G,1.4571,,1.4571,65 MM,,V,TFE-03
HV-329602,28.5 /1.0 BAR A,FC,FISHER-GULDE/1013.04,GLOBE VALVE,80 MM,1.2…2.4 BAR G,1.4571,,1.4571,122 MM,,IV,SET-81
HV-335602,8.0 /1.0 BAR A,FO,FISHER-GULDE/1019.00,ANGLE VALVE,16 MM,0.2…1.0 BAR G,1.4306,,1.4306,50 MM,,IV,TFE-03
HV-335605,,,,,,,,,,,,,
HV-335606,,,,,,,,,,,,,
HV-335608,,,,,,,,,,,,,
HV-335611,,,,,,,,,,,,,
HV-335612,,,,,,,,,,,,,
HV-381601,21.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00,GLOBE VALVE,16 MM,1.3...2.3 BAR G,1.4571,,1.4571,6 MM,,V,TFE-03
HV-381602,8.0 /1.0 BAR A,FC,NELES /DN150 K802,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,1.4408 / 1.4418,PTFE  ,150 MM,,V,PTFE
LV-302501A,15.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,0.2..1.0 BAR G,1.4571,,1.4571,65 MM,,IV,PTFE-GRAPHITE
LV-302501B,15.0 /1.0 BAR A,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2..1.0 BAR G,1.4571,,1.4571,20 MM,PARTLY STELLITED,IV,VPC-44 (VACUUM)
LV-303501,111 / 1.0 BAR,FL / FC,FISHER-GULDE/1051.79,ANGLE VALVE,16 MM,1.5…2.4 BAR G,1.4122/1.4571,,1.4122,8 MM,,IV,TFE-03
LV-303502,236 / 1.0 BAR G,FC,FISHER-GULDE/1051.01,ANGLE VALVE,55 (65) MM,1.35…2.1 BAR,1.4571,,1.4571,77 MM,,IV ,TFE-03
LV-303508,15.0 /1.0 BAR G,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,25 MM,,IV,PTFE-GRAPHITE
LV-305501,8.0 /0.8 BAR A,FO,FISHER-CULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571,20 MM,PARTLY STELLITED,IV,PTFE-GRAPHITE
LV-305504,53.0 /1 BAR A,FC,FISHER-CULDE/1013.01,GLOBE VALVE,32 MM,1.0...2.4 BAR G,1.4571,,1.4571,20 MM,PARTLY STELLITED,IV,PTFE-GRAPHITE
LV-305507A,35.5 /1 BAR A,FC,NELES /L4F/DNU350,BUTTERFLY VALVE,N/A,1.5…3.5 BAR G,,A351 GR. CF8M/17-4PH,,300 MM,,II,PTFE
LV-305507B,35.5 / 1 BAR,FC,FISHER-CULDE/1051.11,ANGLE VALVE,120 TO 1OO MM,1.5…2.6 BAR,1.4306,,1.4306,245 MM,STELLITED,II,TFE-03
LV-305515,8.0 / 0.8 BAR,FO,NELES /L1CNA500,BUTTERFLY VALVE,N/A,1.1…3.0 BAR G,,A351 GR. CF8M/AISI329,INCOLOY 825,500 MM,,II,PTFE
LV-305517,54.0 /1 BAR A,FC,FISHER-CULDE/1013.01,GLOBE VALVE,32 MM,1.0…2.4 BAR G,1.4571,,1.4571,77 MM,,IV,TFE-03
LV-306501,35.5 /1 BAR A,FC,FISHER-CULDE/1051.79,ANGLE VALVE,16 MM,1.5…2.4 BAR G,1.4122,,1.4122,8 MM,,V,TFE-03
LV-307501,21 / 1.0 BAR A,FC,FISHER-CULDE/1018.00S,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4571,,1.4571,25 MM,PARTLY STELLITED,IV,PTFE-GRAPHITE
LV-307502,35.5 / 1 BAR,FC,FISHER-CULDE/1013.00,GLOBE VALVE,32 MM,1.5…2.4 BAR G,1.4122,,1.4122,6 MM,,IV,TFE-03
LV-307508A,15.0 / 1 BAR,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,0.2…1.0 BAR G,1.4571,,1.4571,40 MM,,IV,PTFE-GRAPHITE
LV-307508B,15.0 / 1 BAR,FO,FISHER-GULDE/1018.00S,GLOBE VALVE,16 MM,0.2…1.0 BAR G,1.4571,,1.4571,20 MM,PARTLY STELLITED,V,PTFE-GRAPHITE (VACU.)
LV-307514,,,,,,,,,,,,,
LV-307515,,,,,,,,,,,,,
LV-307524,,,,,,,,,,,,,
LV-308501,236 / 1 BAR,FC,FISHER-GULDE/HPT,GLOBE VALVE,29 MM,0.7…1.8 BAR G,416SST,,416SST,47.6 MM,,IV,TFE
LV-308504,21.0 /1.0 BAR A,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,1.4…3.2 BAR G,1.4571,,1.4571,65 MM,PARTLY STELLITED,IV,PTFE-GRAPHITE
LV-308507,17 / 1 BAR,FC,FISHER-GULDE/1018.00S,GLOBE VALVE,32 MM,1.0…2.4 BAR,1.4571,,1.4571,50 MM,,IV,PTFE-GRAPHITE
LV-308510A,208 /28 BAR A,FC,FISHER-GULDE/1051.79,ANGLE VALVE,10 MM,1.0…1.26 BAR,1.4122/1.4571,,1.4122,32 MM,,IV,TFE-03
LV-308510B,208 /28 BAR A,FC,FISHER-GULDE/1051.79,ANGLE VALVE,10 MM,1.0…1.26 BAR,1.4122/1.4571,,1.4122,32 MM,,IV,TFE-03
