Factory,Tag_Number,Date,Work_Done,Test,Technician
AFC 2,HV-08606,7/12/2020 0:00,decrease air supply from 6 to 5 bar,,
AFC 2,HV-08606,26/12/2020,stuck,,
AFC 2,HV-08607,16-10-2015,"Change Teflon packing and bottom flange gasket, movement test is ok.",,
AFC 2,HV-21602,9/10/2015 0:00,"Leakage through found, replace seat and body gasket, test ok.",,
AFC 2,HV-21602,29-8-2019,Check for movment,,
AFC 2,LV-03501,12/10/2015 0:00,"Leakage through found, replace plug, seat, stem, packing and gaskets, pressure test is ok.",,
AFC 2,LV-03501,22-8-2019,"Machining for seat and plug check movement, Dismount, send its internal to workshop",,
AFC 2,LV-03502,7/10/2015 0:00,Pressure and movement test are ok.,,
AFC 2,LV-03502,26-8-2019,"Machining for plug and seat, leak test and check movement",,
AFC 2,LV-03508,3/15/2022 0:00,change bushing in filed,,
AFC 2,LV-05504,23/10/2022,Gland Teghted,,
AFC 2,LV-05507A,21-2-2019,Check and adjust its stopper,,
AFC 2,LV-05507A,11/1/2021 0:00,Check Movment,,
AFC 2,LV-05507A,6/10/2022 0:00,machinig for flap and clamp and change seat ,,
AFC 2,LV-05507B,28-8-2019,Change packing at field,,
AFC 2,LV-05507B,6/10/2022 0:00,"machinig for body, seat and cage. change plug  ",,
AFC 2,LV-05515,6/10/2022 0:00,check,,
AFC 2,LV-07508,11/10/2015 0:00,"Leakage through found, machining for body, seat and plug, test ok",,
AFC 2,LV-07508,28-8-2019,Check for leak through and movement,,
AFC 2,LV-08501,10/10/2015 0:00,Tight gland,,
AFC 2,LV-08504,16-10-2015,Replace packing at field,,
AFC 2,LV-08504,14-12-2020,Gland Tighted,,
AFC 2,LV-08507,6/1/2022 0:00,Gland Tighted,,
AFC 2,LV-08510A,14-10-2015,"Leakage through found, dismantle for maintenance, Replace plug, seat, stem packing and gasket, pressure test is ok.",,
AFC 2,LV-08510A,7/12/2020 0:00,Gland tighted,,
AFC 2,LV-08510A,6/10/2022 0:00,change packing,,
AFC 2,LV-08510A,7/25/2022 0:00,change Plug & Seat,,
AFC 2,LV-08510A,6/1/2022 0:00,change packing,,
AFC 2,LV-08510B,13-10-2015,"Leakage through found, dismantle for maintenance, Machining for seat, replace plug, stem packing and gasket, pressure test is ok.",,
AFC 2,LV-08510B,7/12/2020 0:00,Gland tighted,,
AFC 2,LV-08510B,6/10/2022 0:00,change packing,,
AFC 2,LV-08510B,7/25/2022 0:00,change Plug & Seat,,
AFC 2,LV-08510B,6/1/2022 0:00,change packing,,
AFC 2,LV-08513A,20/1/2021,gland tighted,,
AFC 2,LV-08513A,6/12/2021 0:00,gland tighted,,
AFC 2,LV-08513A,12/102022,gland tighted,,
AFC 2,LV-08513B,6/12/2021 0:00,gland tighted,,M Abdallah
AFC 2,LV-08515,16-10-2015,Replace packing at field,,
AFC 2,LV-08515,7/7/2020 0:00,Tighten on the gland,,
AFC 2,LV-08515,11/1/2021 0:00,Tighten On The Gland,,
AFC 2,LV-08516,16-10-2015,Replace packing at field,,
AFC 2,LV-08516,20/12/2020,change actuator,,
AFC 2,LV-09501,16/11/2022,Gland tighted,,
AFC 2,LV-09503A,13-10-2015,Tight gland at field,,
AFC 2,LV-09503A,8/1/2022 0:00,Tight gland at field,,
AFC 2,LV-09503B,13-10-2015,Replace packing at field,,
AFC 2,LV-09506,6/10/2022 0:00,check,,
AFC 2,LV-10501,6/10/2022 0:00,check,,
AFC 2,LV-21501,8/10/2015 0:00,Pressure and movement test are ok.,,
AFC 2,LV-21501,25-8-2019,"Machining for its internals, change packing leak test and check for its movement",,
AFC 2,LV-21504,3/10/2015 0:00,"Pressure test is good, and due to heavy erosion in actuator we replace actuator by new one, we change also packing.",,
AFC 2,LV-21510,9/10/2015 0:00,Replace by new control valve with accessories.,,
AFC 2,LV-21510,22-8-2019,"Change plug and seat, and its seal",,
AFC 2,LV-21510,7/7/2020 0:00,Machining for plug and seat change packing,,
AFC 2,LV-21510,1/1/2023 0:00,Change With New Spare One,,
AFC 2,LV-21514,2/10/2015 0:00,"Leakage through found at pressure test, dismantle valve internals, send body with seat, bonnet and plug for machining. ",,
AFC 2,LV-21514,20-8-2019,"Dismount; send plug and seat for machining , Weld seat with valve body, send body with seat for re-machining.",,
AFC 2,LV-21514,1/1/2023 0:00,"Machining ""Plug & Seat"" & Change Packing & Change Bushing new desing",,
AFC 2,LV-21520,4/10/2015 0:00,"Bottom flange and packing pressure test are ok, but loose found in 2 pins that fix shaft with disc, it will be fabricate and replace , Fabricate new 3 pins, and replace the old loose pins.",,
AFC 2,LV-21520,20-8-2019,Dismount; send body for machining,,
