warehouse_number,sap_code,oracle_code,condition,description,part_number,tag_number,MANUFATURE_CO,unit_of_measure,category
10,2200001241,0190506870280234,NEW,Gasket Of It O 5836x1,,,,PC,ZSPR
10,2200001242,0190506870280249,NEW,Gasket Of It O 3826x1,,,,PC,ZSPR
10,2200001243,0190506870280253,NEW,Bellowdouble Wall 30 Corrugations Of 145,,,,PC,ZSPR
10,2200001244,0190506870280268,NEW,Cone Gasket Of Nyhapren 10772x4,,,,PC,ZSPR
10,2200001245,0190506870280272,NEW,Cone Gasketof Nuhapren 9664x4,,,,PC,ZSPR
10,2200001246,0190506870280287,NEW,Orings No 211,,,,PC,ZSPR
10,2200001247,0190506870280296,NEW,Gasket Of It O150116x1,,,,PC,ZSPR
10,2200001248,0190506870280309,NEW,Gasket Of It O11083x1,,,,PC,ZSPR
10,2200001249,0190506870280313,NEW,Gasket Of It O12194x1,,,,PC,ZSPR
10,2200001250,0190506870280328,NEW,Gasket Of It O8052x1,,,,PC,ZSPR
10,2200001251,0190506870280351,NEW,Gosker Of Rxo 150116x1,,,,PC,ZSPR
10,2200001252,0190506870280366,NEW,Diajhram Of 603ag 1000 75x2,,,,PC,ZSPR
10,2200001253,0190506870280385,NEW,Gascket (2),,,,PC,ZSPR
10,2200001254,0190506870280394,NEW,Disphram,,,,PC,ZSPR
10,2200001255,0190506870280407,NEW,Gascket (1),,,,PC,ZSPR
10,2200001256,0190506870280411,NEW,Gascket (8),,,,PC,ZSPR
10,2200001257,0190506870280426,NEW,Gascket (3),,,,PC,ZSPR
10,2200001258,0190506870280445,NEW,Cone Blind,,,,PC,ZSPR
10,2200001259,0190506870280450,NEW,Cone Gascket,,,,PC,ZSPR
10,2200001260,0190506870280464,NEW,Gascket (4),,,,PC,ZSPR
10,2200001261,0190506870280479,NEW,O Ring (8),,,,PC,ZSPR
10,2200001262,0190506870280483,NEW,Gascket (5),,,,PC,ZSPR
10,2200001263,0190506870280492,NEW,Gascket (6),,,,PC,ZSPR
10,2200001264,0190506870280506,NEW,Bellow Singl Woll,,,,PC,ZSPR
10,2200001265,0190506870280511,NEW,Diphram Gm 3148,,,,PC,ZSPR
10,2200001266,0190506870280525,NEW,Diphram (1),,,,PC,ZSPR
10,2200001267,0190506870280530,NEW,Gascket (7),,,,PC,ZSPR
10,2200001268,0190506870280544,NEW,O Ring (9),,,,PC,ZSPR
10,2200001269,0190506870280578,NEW,Gasket (1),,,,PC,ZSPR
10,2200001270,0190506870280591,NEW,Set Con Tuflon O Ring 7 Yp 550 Gm 1833,,,,PC,ZSPR
10,2200001271,0190506870280603,NEW,Set Con Oring Ryp G M 2561,,,,PC,ZSPR
10,2200001272,0190506870280622,NEW,Gas Ket,,,,PC,ZSPR
10,2200001273,0190546800000020,NEW,Fisher Filter Type:252 For Fv-51005,51005,FV-51005,,PC,ZSPR
10,2200001274,0190546800000030,NEW,Fisher Positioner Type:3620 Jfor Actuato,3620,,,PC,ZSPR
10,2200001173,0190546800000070,NEW,Positioner 3570 For Actuator Type:474-10,10,,,PC,ZSPR
10,2200001174,0190546800000080,NEW,Three Way Valve Type:164 A,164,,,PC,ZSPR
